============================
Start command conflicts with hotkeys, within identified conflicts (log file: KnownHotkeyCommandCheck.log)
[ERROR]: X used for command DetonateScourge/Scourge, in seed Z contexts=['Coop']
[ERROR]: F used for command EnableBuildingAttackScourge/Scourge, in seed Z contexts=['Coop']
[ERROR]: R used for command EnergizerReclamation/SentryPurifier, in seed Z contexts=['Coop']
[ERROR]: D used for command EvolveAdaptivePlating/RoachWarren, in seed Z contexts=['Coop']
[ERROR]: C used for command EvolveAncillaryCarapace/HydraliskDen, in seed Z contexts=['Coop']
[ERROR]: C used for command EvolveAncillaryCarapace/ImpalerDen, in seed Z contexts=['Coop']
[ERROR]: C used for command EvolveAncillaryCarapace/LurkerDen, in seed Z contexts=['Coop']
[ERROR]: E used for command EvolveBanelingHeal/BanelingNest, in seed Z contexts=['Coop']
[ERROR]: R used for command EvolveBanelingRupture/BanelingNest, in seed Z contexts=['Coop']
[ERROR]: D used for command EvolveBileLauncherBombardmentCooldown/SpawningPool, in seed Z contexts=['Coop']
[ERROR]: E used for command EvolveBroodLordSpeed/GreaterSpire, in seed Z contexts=['Coop']
[ERROR]: E used for command EvolveBroodLordSpeed/Spire, in seed Z contexts=['Coop']
[ERROR]: F used for command EvolveFrenzy/HydraliskDen, in seed Z contexts=['Coop']
[ERROR]: F used for command EvolveFrenzy/ImpalerDen, in seed Z contexts=['Coop']
[ERROR]: F used for command EvolveFrenzy/LurkerDen, in seed Z contexts=['Coop']
[ERROR]: C used for command EvolveHardenedCarapace/SpawningPool, in seed Z contexts=['Coop']
[ERROR]: R used for command EvolveK5ChainLightning/EvolutionChamber, in seed Z contexts=['Coop']
[ERROR]: E used for command EvolveK5Cooldowns/EvolutionChamber, in seed Z contexts=['Coop']
[ERROR]: F used for command EvolveKerriganHeroicFortitude/EvolutionChamber, in seed Z contexts=['Coop']
[ERROR]: R used for command EvolveMutaliskRapidRegeneration/GreaterSpire, in seed Z contexts=['Coop']
[ERROR]: R used for command EvolveMutaliskRapidRegeneration/Spire, in seed Z contexts=['Coop']
[ERROR]: D used for command EvolveScourgeSplashDamage/ScourgeNest, in seed Z contexts=['Coop']
[ERROR]: T used for command EvolveTissueAssimilation/UltraliskCavern, in seed Z contexts=['Coop']
[ERROR]: R used for command EvolveZerglingArmorShred/SpawningPool, in seed Z contexts=['Coop']
[ERROR]: F used for command Feedback/Archon, in seed Z contexts=['Coop']
[ERROR]: E used for command GiantYetiLeap/GiantYeti, in seed Z contexts=['HotS Campaign']
[ERROR]: R used for command HyperionAdvancedPDD/HyperionVoidCoop, in seed Z contexts=['Coop']
[ERROR]: T used for command HyperjumpHercules/Hercules, in seed Z contexts=['Coop']
[ERROR]: C used for command ImmortalShakurasShadowCannon/ImmortalAiur, in seed Z contexts=['Coop']
[ERROR]: R used for command InstantHunterSeekerMissile/Raven, in seed Z contexts=['Coop']
[ERROR]: C used for command JackhammerConcussionGrenade/HammerSecurity, in seed Z contexts=['Left2Die']
[ERROR]: D used for command KerriganVoidCoopCrushingGripWave/K5Kerrigan, in seed Z contexts=['Coop']
[ERROR]: D used for command KerriganVoidCoopCrushingGripWave/K5KerriganBurrowed, in seed Z contexts=['Coop']
[ERROR]: E used for command KerriganVoidCoopEconDrop/K5Kerrigan, in seed Z contexts=['Coop']
[ERROR]: E used for command KerriganVoidCoopEconDrop/K5KerriganBurrowed, in seed Z contexts=['Coop']
[ERROR]: D used for command LightningBomb/Tempest, in seed Z contexts=['Coop']
[ERROR]: D used for command MassRoachDrop/ZagaraVoidCoop, in seed Z contexts=['Coop']
[ERROR]: D used for command MassRoachDrop/ZagaraVoidCoopBurrowed, in seed Z contexts=['Coop']
[ERROR]: T used for command MorphtoObserver/Observer, in seed Z contexts=['Coop']
[ERROR]: E used for command MorphtoObserverSiege/Observer, in seed Z contexts=['Coop']
[ERROR]: T used for command MorphtoOverseer/Overseer, in seed Z contexts=['Coop']
[ERROR]: E used for command MorphtoOverseerSiege/Overseer, in seed Z contexts=['Coop']
[ERROR]: E used for command Oracle/StargateWarp, in seed Z contexts=['Coop']
[ERROR]: T used for command PsiStorm/Archon, in seed Z contexts=['Coop']
[ERROR]: T used for command PsionicLift/KerriganVoid, in seed Z contexts=['LotV Campaign']
[ERROR]: T used for command PsionicLift/KerriganVoidBurrowed, in seed Z contexts=['LotV Campaign']
[ERROR]: C used for command Research330mmBarrageCannon/FactoryTechLab, in seed Z contexts=['Coop']
[ERROR]: C used for command Research330mmBarrageCannon/FactoryTechReactor, in seed Z contexts=['Coop']
[ERROR]: E used for command ResearchAresClassTargetingSystem/FactoryTechLab, in seed Z contexts=['Coop']
[ERROR]: E used for command ResearchAresClassTargetingSystem/FactoryTechReactor, in seed Z contexts=['Coop']
[ERROR]: R used for command ResearchBarrier/RoboticsBay, in seed Z contexts=['Coop']
[ERROR]: E used for command ResearchDarkArchonFullStartingEnergy/DarkShrine, in seed Z contexts=['Coop']
[ERROR]: C used for command ResearchDarkArchonMindControl/DarkShrine, in seed Z contexts=['Coop']
[ERROR]: E used for command ResearchDragoonChassis/TwilightCouncil, in seed Z contexts=['Coop']
[ERROR]: D used for command ResearchDrakkenLaserDrillBFG/DrakkenLaserDrillCoop, in seed Z contexts=['Coop']
[ERROR]: F used for command ResearchFireSuppressionSystems/EngineeringBay, in seed Z contexts=['Coop']
[ERROR]: R used for command ResearchImprovedTurretAttackSpeed/EngineeringBay, in seed Z contexts=['Coop']
[ERROR]: E used for command ResearchKaraxTurretAttackSpeed/Forge, in seed Z contexts=['Coop']
[ERROR]: R used for command ResearchKaraxTurretRange/Forge, in seed Z contexts=['Coop']
[ERROR]: R used for command ResearchLockOnRangeUpgrade/FactoryTechLab, in seed Z contexts=['Coop']
[ERROR]: R used for command ResearchLockOnRangeUpgrade/FactoryTechReactor, in seed Z contexts=['Coop']
[ERROR]: E used for command ResearchLurkerRange/HydraliskDen, in seed Z contexts=['Coop']
[ERROR]: E used for command ResearchLurkerRange/LurkerDen, in seed Z contexts=['Coop']
[ERROR]: E used for command ResearchReaper/ScienceFacility, in seed Z contexts=['Left2Die']
[ERROR]: C used for command ResearchReaverIncreasedScarabCount/RoboticsBay, in seed Z contexts=['Coop']
[ERROR]: R used for command ResearchRipwaveMissiles/StarportTechLab, in seed Z contexts=['Coop']
[ERROR]: R used for command ResearchRipwaveMissiles/StarportTechReactor, in seed Z contexts=['Coop']
[ERROR]: R used for command ResearchSOARepairBeamExtraTarget/SolarForge, in seed Z contexts=['Coop']
[ERROR]: D used for command ResearchShadowDash/DarkShrine, in seed Z contexts=['Coop']
[ERROR]: E used for command ResearchSolarEfficiencyLevel1/SolarForge, in seed Z contexts=['Coop']
[ERROR]: D used for command ResearchTempestDisintegration/FleetBeacon, in seed Z contexts=['Coop']
[ERROR]: R used for command ResearchVehicleWeaponRange/Armory, in seed Z contexts=['Coop']
[ERROR]: D used for command ResearchWhirlwind/TwilightCouncil, in seed Z contexts=['Coop']
[ERROR]: C used for command ScourgeNest/Drone, in seed Z contexts=['Coop']
[ERROR]: R used for command SelfRepair/Thor, in seed Z contexts=['Coop']
[ERROR]: R used for command SelfRepair/ThorWreckageSwann, in seed Z contexts=['Coop']
[ERROR]: E used for command ShadowBlade/PrologueZeratul, in seed Z contexts=['LotV Prologue']
